algorithm,params,min,mean,std,time,route
NN,start=0,12861.0,12861.0,0,5.283299833536148e-05,"[0, 8, 37, 30, 43, 17, 6, 27, 35, 29, 5, 36, 18, 26, 42, 16, 32, 45, 14, 11, 10, 22, 13, 24, 12, 20, 46, 19, 39, 2, 21, 15, 40, 33, 28, 4, 47, 38, 31, 23, 9, 41, 25, 3, 34, 44, 1, 7]"
NN,start=12,13123.0,13123.0,0,4.129100125283003e-05,"[12, 24, 13, 22, 10, 11, 14, 32, 45, 43, 17, 6, 27, 35, 29, 5, 36, 18, 26, 42, 16, 19, 46, 20, 38, 31, 47, 4, 28, 1, 41, 9, 23, 44, 34, 25, 3, 33, 2, 21, 15, 0, 8, 37, 30, 39, 7, 40]"
NN,start=24,13131.0,13131.0,0,4.174996865913272e-05,"[24, 13, 22, 10, 11, 14, 32, 45, 43, 17, 6, 27, 35, 29, 5, 36, 18, 26, 42, 16, 19, 46, 20, 12, 38, 31, 47, 4, 28, 1, 41, 9, 23, 44, 34, 25, 3, 33, 2, 21, 15, 0, 8, 37, 30, 39, 7, 40]"
NN,start=36,13447.0,13447.0,0,4.0416023693978786e-05,"[36, 18, 26, 42, 29, 5, 27, 6, 17, 35, 43, 30, 37, 8, 0, 7, 21, 15, 2, 22, 10, 11, 14, 32, 45, 39, 19, 46, 20, 12, 24, 13, 33, 40, 28, 4, 47, 38, 31, 23, 9, 41, 25, 3, 34, 44, 1, 16]"
NN,best_of_k=1,12861.0,12861.0,0,4.2499974370002747e-05,"[0, 8, 37, 30, 43, 17, 6, 27, 35, 29, 5, 36, 18, 26, 42, 16, 32, 45, 14, 11, 10, 22, 13, 24, 12, 20, 46, 19, 39, 2, 21, 15, 40, 33, 28, 4, 47, 38, 31, 23, 9, 41, 25, 3, 34, 44, 1, 7]"
NN,best_of_k=5,12435.0,12435.0,0,0.00020991603378206491,"[1, 28, 4, 47, 38, 31, 20, 46, 10, 22, 13, 24, 12, 11, 14, 32, 45, 43, 17, 6, 27, 35, 29, 5, 36, 18, 26, 42, 16, 19, 39, 8, 0, 7, 37, 30, 21, 15, 2, 33, 40, 41, 9, 23, 44, 34, 25, 3]"
NN,best_of_k=10,12012.0,12012.0,0,0.000421290984377265,"[9, 23, 41, 4, 47, 38, 31, 20, 46, 10, 22, 13, 24, 12, 11, 14, 32, 45, 43, 17, 6, 27, 35, 29, 5, 36, 18, 26, 42, 16, 19, 39, 8, 0, 7, 37, 30, 21, 15, 2, 33, 40, 28, 1, 25, 3, 34, 44]"
NN,best_of_k=20,12012.0,12012.0,0,0.0008177079726010561,"[9, 23, 41, 4, 47, 38, 31, 20, 46, 10, 22, 13, 24, 12, 11, 14, 32, 45, 43, 17, 6, 27, 35, 29, 5, 36, 18, 26, 42, 16, 19, 39, 8, 0, 7, 37, 30, 21, 15, 2, 33, 40, 28, 1, 25, 3, 34, 44]"
IHC,"neigh=swap, iters=1000, restarts=10",11939.0,12601.6,468.0542703576157,0.009906091808807105,"[23, 9, 41, 4, 47, 38, 31, 20, 46, 10, 22, 13, 24, 12, 11, 19, 32, 45, 43, 17, 6, 35, 27, 29, 5, 36, 18, 16, 42, 26, 14, 39, 8, 0, 30, 37, 7, 21, 15, 2, 33, 40, 28, 1, 25, 3, 34, 44]"
IHC,"neigh=insert, iters=1000, restarts=10",11788.0,12119.0,278.4878812444089,0.04619790818542242,"[22, 13, 24, 12, 10, 11, 39, 14, 32, 45, 43, 30, 17, 6, 35, 27, 5, 36, 18, 26, 42, 16, 29, 19, 46, 20, 31, 38, 47, 4, 41, 23, 9, 44, 34, 25, 3, 1, 28, 33, 40, 2, 21, 15, 0, 8, 37, 7]"
IHC,"neigh=two_opt, iters=1000, restarts=10",11291.0,11764.8,445.22320245018676,0.01079815000994131,"[28, 40, 33, 22, 2, 21, 15, 0, 7, 8, 37, 30, 43, 35, 29, 42, 16, 26, 18, 36, 5, 27, 6, 17, 32, 45, 14, 39, 10, 11, 19, 46, 20, 12, 13, 24, 4, 47, 38, 31, 23, 9, 44, 34, 3, 25, 41, 1]"
IHC,"neigh=two_opt, iters=100, restarts=10",11951.0,13018.8,645.3237172148564,0.0011796916020102798,"[25, 3, 9, 23, 41, 4, 47, 38, 31, 20, 46, 10, 22, 13, 24, 12, 11, 14, 32, 19, 35, 29, 5, 36, 18, 26, 16, 42, 27, 6, 17, 43, 45, 30, 37, 7, 0, 8, 39, 21, 15, 2, 33, 40, 28, 1, 34, 44]"
IHC,"neigh=two_opt, iters=500, restarts=10",11921.0,12170.8,238.79216905082964,0.005603225203230977,"[28, 40, 33, 13, 24, 12, 10, 22, 2, 21, 15, 7, 0, 8, 37, 30, 43, 17, 35, 16, 42, 29, 5, 36, 18, 26, 27, 6, 39, 14, 32, 45, 11, 19, 46, 20, 4, 47, 38, 31, 23, 9, 44, 34, 3, 25, 41, 1]"
IHC,"neigh=two_opt, iters=1000, restarts=10",11199.0,11646.6,302.5050412803066,0.010872091585770249,"[34, 44, 23, 9, 41, 4, 47, 38, 31, 20, 12, 24, 13, 22, 10, 46, 19, 11, 14, 32, 45, 43, 17, 6, 27, 35, 29, 5, 36, 18, 26, 16, 42, 30, 37, 7, 0, 8, 39, 21, 15, 2, 40, 33, 28, 1, 25, 3]"
IHC,"neigh=two_opt, iters=2000, restarts=10",11061.0,11352.0,203.40353979220717,0.0215367165976204,"[9, 23, 41, 4, 47, 38, 31, 20, 12, 24, 13, 22, 10, 46, 19, 11, 14, 32, 45, 43, 17, 6, 27, 42, 16, 26, 18, 36, 5, 29, 35, 30, 37, 7, 0, 8, 39, 21, 15, 2, 33, 40, 28, 1, 3, 25, 34, 44]"
IHC,"neigh=two_opt, iters=1000, restarts=5",11714.0,11843.0,159.83428918727046,0.006101491791196167,"[33, 28, 1, 25, 3, 34, 44, 9, 23, 41, 4, 47, 31, 38, 24, 22, 10, 46, 20, 12, 13, 2, 0, 39, 14, 11, 32, 45, 19, 16, 42, 26, 18, 36, 5, 29, 35, 27, 6, 17, 43, 30, 37, 8, 7, 21, 15, 40]"
IHC,"neigh=two_opt, iters=1000, restarts=10",10857.0,11441.2,384.33409944994474,0.011045524606015534,"[28, 4, 47, 33, 40, 15, 21, 2, 22, 10, 11, 14, 39, 8, 0, 7, 37, 30, 43, 17, 6, 27, 36, 18, 16, 42, 26, 5, 29, 35, 45, 32, 19, 46, 20, 12, 13, 24, 38, 31, 23, 44, 34, 3, 25, 9, 41, 1]"
IHC,"neigh=two_opt, iters=1000, restarts=20",11422.0,11690.6,293.94948545626,0.02166395840467885,"[4, 28, 1, 25, 3, 34, 44, 23, 9, 41, 47, 38, 31, 20, 12, 24, 13, 22, 10, 46, 11, 14, 45, 32, 19, 42, 16, 26, 18, 36, 5, 29, 35, 27, 6, 17, 43, 30, 37, 7, 0, 8, 39, 21, 15, 2, 33, 40]"
IHC,"neigh=two_opt, iters=1000, restarts=30",11540.0,11802.8,308.82308851509146,0.03290141641627997,"[28, 1, 25, 3, 34, 44, 9, 23, 41, 4, 47, 31, 38, 13, 24, 12, 20, 46, 10, 22, 33, 2, 0, 39, 45, 14, 11, 19, 32, 35, 29, 42, 16, 26, 18, 36, 5, 27, 6, 17, 43, 30, 37, 8, 7, 21, 15, 40]"
IHC,"neigh=two_opt, iters=2000, no_improve=50",12049.0,12903.4,482.48347121948126,0.006344174989499152,"[4, 47, 38, 31, 20, 46, 10, 22, 13, 24, 12, 11, 14, 32, 19, 35, 29, 5, 36, 18, 26, 42, 16, 27, 6, 17, 43, 45, 39, 8, 30, 37, 7, 0, 15, 21, 2, 33, 40, 28, 1, 41, 9, 23, 44, 34, 25, 3]"
IHC,"neigh=two_opt, iters=2000, no_improve=100",11396.0,12156.0,529.2655288227262,0.011668999807443469,"[0, 39, 21, 15, 40, 33, 2, 22, 12, 13, 24, 4, 28, 1, 25, 3, 34, 44, 9, 23, 41, 47, 38, 31, 20, 46, 19, 32, 11, 10, 14, 45, 35, 5, 29, 42, 16, 18, 26, 36, 27, 6, 17, 43, 30, 37, 8, 7]"
IHC,"neigh=two_opt, iters=2000, no_improve=200",11236.0,11612.8,372.6227314590456,0.018478133191820234,"[28, 40, 15, 21, 2, 33, 13, 22, 10, 11, 14, 32, 45, 39, 0, 7, 8, 37, 30, 43, 17, 6, 35, 27, 29, 5, 36, 18, 26, 16, 42, 19, 46, 20, 12, 24, 4, 47, 38, 31, 23, 44, 34, 3, 25, 9, 41, 1]"
IHC,"neigh=two_opt, iters=2000, no_improve=500",10927.0,11270.8,229.09866869975477,0.022623058408498764,"[28, 40, 33, 2, 15, 21, 39, 8, 0, 7, 37, 30, 43, 17, 6, 27, 5, 36, 18, 16, 42, 26, 29, 35, 45, 32, 19, 14, 11, 10, 22, 13, 24, 12, 46, 20, 31, 38, 47, 4, 41, 23, 9, 44, 34, 3, 25, 1]"
IHC_INTENSIFICATION,"iters=1000, restarts=10",11677.0,12151.6,409.6142087379294,0.012977891601622105,"[42, 5, 27, 35, 17, 6, 43, 30, 37, 8, 39, 0, 7, 15, 21, 2, 10, 22, 12, 13, 24, 47, 4, 33, 40, 28, 1, 41, 9, 25, 3, 34, 44, 23, 31, 38, 20, 46, 19, 11, 14, 32, 45, 29, 36, 18, 26, 16]"
SA,"neigh=swap, temp=1000, alpha=0.99, iters=5000",11964.0,12633.0,508.0516706005404,0.008544691605493426,"[41, 4, 47, 38, 31, 20, 46, 10, 22, 13, 24, 12, 11, 14, 45, 35, 36, 18, 16, 26, 17, 6, 27, 5, 29, 42, 19, 32, 43, 30, 37, 8, 7, 0, 39, 2, 21, 15, 40, 33, 28, 1, 25, 3, 34, 44, 23, 9]"
SA,"neigh=insert, temp=1000, alpha=0.99, iters=5000",11584.0,12186.6,491.1428509099975,0.008883516781497746,"[10, 12, 38, 31, 20, 46, 19, 11, 32, 45, 17, 6, 29, 5, 36, 18, 26, 16, 42, 27, 35, 43, 30, 37, 14, 39, 0, 7, 8, 2, 21, 15, 40, 33, 28, 1, 25, 3, 34, 44, 9, 23, 41, 4, 47, 24, 13, 22]"
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",11342.0,11556.6,223.0141251131865,0.009464950219262391,"[34, 3, 25, 9, 41, 47, 4, 28, 1, 40, 15, 7, 0, 21, 2, 33, 13, 24, 12, 22, 10, 11, 39, 8, 37, 30, 43, 17, 35, 29, 42, 16, 26, 18, 36, 5, 27, 6, 45, 14, 32, 19, 46, 20, 38, 31, 23, 44]"
SA,"neigh=two_opt, temp=100, alpha=0.99, iters=5000",10816.0,11302.0,349.14466915592453,0.008678466803394258,"[3, 25, 1, 28, 40, 33, 2, 21, 15, 0, 7, 8, 37, 30, 43, 17, 6, 27, 5, 36, 18, 26, 16, 42, 29, 35, 45, 39, 14, 32, 19, 11, 10, 22, 13, 24, 12, 46, 20, 31, 38, 47, 4, 41, 23, 9, 44, 34]"
SA,"neigh=two_opt, temp=500, alpha=0.99, iters=5000",11027.0,11530.2,446.22830479475414,0.009164250001776963,"[28, 41, 4, 47, 24, 13, 33, 40, 15, 21, 2, 22, 10, 11, 14, 39, 8, 0, 7, 37, 30, 43, 6, 5, 36, 18, 26, 16, 42, 29, 27, 35, 17, 45, 32, 19, 46, 12, 20, 38, 31, 23, 9, 44, 34, 3, 25, 1]"
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",11109.0,11367.8,189.1380448244086,0.009691066399682313,"[28, 33, 40, 15, 21, 0, 7, 8, 37, 30, 43, 17, 6, 27, 5, 36, 18, 26, 16, 42, 29, 35, 45, 14, 39, 2, 22, 13, 24, 12, 10, 11, 32, 19, 46, 20, 38, 31, 23, 47, 4, 41, 9, 44, 34, 3, 25, 1]"
SA,"neigh=two_opt, temp=5000, alpha=0.99, iters=5000",11343.0,11633.4,432.94607054458874,0.01764596679713577,"[25, 3, 34, 44, 9, 23, 41, 4, 47, 31, 38, 24, 13, 22, 10, 12, 20, 46, 19, 29, 42, 16, 26, 18, 36, 5, 27, 35, 17, 6, 43, 30, 37, 8, 7, 0, 39, 14, 45, 32, 11, 21, 15, 2, 40, 33, 28, 1]"
SA,"neigh=two_opt, temp=1000, alpha=0.9, iters=5000",12617.0,12765.0,124.14709017935137,0.0009356667986139655,"[38, 31, 20, 46, 10, 22, 13, 24, 12, 11, 14, 32, 45, 43, 17, 6, 27, 35, 29, 5, 36, 18, 26, 42, 16, 19, 39, 8, 0, 7, 37, 30, 21, 15, 2, 33, 40, 28, 4, 47, 41, 9, 23, 44, 34, 25, 3, 1]"
SA,"neigh=two_opt, temp=1000, alpha=0.95, iters=5000",12266.0,12597.6,246.22002355616814,0.0019140419899486005,"[1, 28, 4, 33, 40, 2, 15, 21, 7, 37, 30, 43, 17, 6, 27, 35, 32, 11, 14, 19, 42, 29, 26, 16, 18, 36, 5, 45, 8, 0, 39, 10, 22, 13, 24, 12, 46, 20, 31, 38, 47, 41, 23, 9, 44, 34, 3, 25]"
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",11243.0,11412.6,173.68160524361812,0.009386216395068914,"[3, 34, 44, 9, 23, 41, 4, 47, 38, 31, 20, 46, 12, 24, 13, 22, 10, 11, 39, 14, 45, 32, 19, 42, 16, 26, 18, 36, 29, 5, 27, 35, 6, 17, 43, 30, 37, 8, 7, 15, 21, 0, 2, 33, 40, 28, 1, 25]"
SA,"neigh=two_opt, temp=1000, alpha=0.995, iters=5000",10805.0,11405.0,432.8481257900974,0.015786383196245878,"[25, 3, 34, 44, 9, 41, 23, 31, 20, 46, 19, 32, 45, 35, 29, 42, 16, 26, 18, 36, 5, 27, 6, 17, 43, 30, 37, 7, 0, 8, 39, 14, 11, 10, 22, 2, 21, 15, 40, 33, 13, 12, 24, 38, 47, 4, 28, 1]"
SA,"neigh=two_opt, temp=1000, cooling=geometric",10999.0,11535.2,417.31307192562275,0.00972102521918714,"[25, 3, 34, 44, 9, 23, 31, 20, 46, 19, 11, 14, 32, 45, 35, 27, 29, 42, 16, 26, 18, 36, 5, 6, 17, 43, 30, 37, 39, 8, 7, 0, 21, 15, 40, 33, 2, 22, 10, 12, 13, 24, 38, 47, 4, 28, 1, 41]"
SA,"neigh=two_opt, temp=1000, cooling=linear",12012.0,12949.6,652.9194437294695,0.016028458392247556,"[9, 23, 41, 4, 47, 38, 31, 20, 46, 10, 22, 13, 24, 12, 11, 14, 32, 45, 43, 17, 6, 27, 35, 29, 5, 36, 18, 26, 42, 16, 19, 39, 8, 0, 7, 37, 30, 21, 15, 2, 33, 40, 28, 1, 25, 3, 34, 44]"
SA,"neigh=two_opt, temp=1000, cooling=logarithmic",12116.0,12848.2,564.2930976008832,0.016039233200717717,"[47, 1, 28, 33, 40, 2, 15, 21, 0, 7, 8, 14, 39, 37, 30, 43, 6, 35, 17, 27, 42, 16, 26, 18, 36, 29, 5, 45, 32, 11, 19, 46, 20, 13, 22, 10, 12, 24, 31, 38, 23, 9, 44, 34, 3, 25, 41, 4]"
SA_REHEATING,"temp=1000, alpha=0.99, iters=5000",11823.0,12672.8,624.9885598952992,0.01550020818831399,"[8, 30, 43, 35, 29, 42, 16, 26, 36, 18, 5, 27, 17, 6, 45, 32, 14, 11, 19, 46, 12, 20, 31, 38, 47, 4, 1, 3, 25, 34, 44, 9, 23, 41, 28, 24, 13, 22, 10, 39, 2, 33, 40, 15, 21, 0, 7, 37]"
TS,"neigh=swap, iters=500, tabu_size=20",11976.0,13089.6,689.6620911721914,0.03056657500565052,"[9, 23, 41, 4, 47, 38, 31, 20, 46, 10, 22, 13, 24, 12, 11, 14, 32, 45, 43, 17, 6, 35, 27, 29, 5, 36, 18, 26, 42, 16, 19, 39, 8, 0, 7, 37, 30, 21, 15, 2, 33, 40, 28, 1, 25, 3, 34, 44]"
TS,"neigh=insert, iters=500, tabu_size=20",12012.0,12723.6,557.3305123533073,0.030630791396833956,"[9, 23, 41, 4, 47, 38, 31, 20, 46, 10, 22, 13, 24, 12, 11, 14, 32, 45, 43, 17, 6, 27, 35, 29, 5, 36, 18, 26, 42, 16, 19, 39, 8, 0, 7, 37, 30, 21, 15, 2, 33, 40, 28, 1, 25, 3, 34, 44]"
TS,"neigh=two_opt, iters=500, tabu_size=20",11983.0,12172.6,133.58630169295054,0.0333955583977513,"[9, 23, 44, 34, 25, 3, 1, 28, 4, 33, 40, 15, 21, 2, 39, 45, 26, 16, 42, 29, 36, 18, 5, 27, 6, 17, 35, 43, 30, 37, 0, 7, 8, 14, 32, 19, 11, 10, 22, 12, 24, 13, 46, 20, 38, 31, 47, 41]"
TS,"neigh=two_opt, iters=500, tabu_size=5",12047.0,12221.4,208.26017382111252,0.032721958192996684,"[25, 3, 34, 44, 9, 23, 4, 47, 31, 38, 24, 13, 12, 20, 46, 10, 39, 8, 21, 15, 0, 7, 37, 30, 43, 5, 36, 18, 26, 42, 16, 29, 27, 6, 17, 35, 19, 11, 14, 32, 45, 22, 2, 33, 40, 28, 1, 41]"
TS,"neigh=two_opt, iters=500, tabu_size=10",11984.0,12161.0,144.23071794870884,0.03249524161219597,"[28, 40, 15, 21, 0, 7, 8, 39, 2, 33, 12, 20, 46, 19, 32, 45, 27, 18, 29, 42, 16, 26, 5, 36, 35, 6, 17, 43, 37, 30, 14, 11, 10, 22, 13, 24, 4, 47, 38, 31, 23, 9, 44, 34, 3, 25, 41, 1]"
TS,"neigh=two_opt, iters=500, tabu_size=20",11624.0,12016.6,301.63023721105947,0.033559066604357216,"[34, 44, 9, 23, 41, 4, 47, 38, 31, 20, 46, 10, 12, 24, 13, 22, 11, 19, 16, 42, 26, 18, 36, 5, 29, 27, 6, 35, 17, 43, 30, 37, 7, 0, 8, 39, 14, 32, 45, 21, 15, 2, 33, 40, 28, 1, 25, 3]"
TS,"neigh=two_opt, iters=500, tabu_size=50",11875.0,12128.8,197.90831210436818,0.037900058401282875,"[1, 28, 40, 33, 2, 21, 15, 0, 7, 8, 37, 30, 39, 19, 18, 16, 42, 26, 36, 5, 29, 17, 35, 27, 6, 43, 45, 32, 14, 11, 10, 22, 13, 24, 12, 46, 20, 31, 38, 47, 4, 41, 23, 44, 34, 9, 25, 3]"
TS,"neigh=two_opt, iters=100, tabu_size=20",12012.0,12371.6,234.51076734342072,0.0067835416062735025,"[9, 23, 41, 4, 47, 38, 31, 20, 46, 10, 22, 13, 24, 12, 11, 14, 32, 45, 43, 17, 6, 27, 35, 29, 5, 36, 18, 26, 42, 16, 19, 39, 8, 0, 7, 37, 30, 21, 15, 2, 33, 40, 28, 1, 25, 3, 34, 44]"
TS,"neigh=two_opt, iters=250, tabu_size=20",11996.0,12331.8,357.86268316213136,0.016656683606561272,"[28, 33, 40, 15, 39, 2, 21, 7, 0, 8, 37, 30, 43, 5, 42, 29, 36, 18, 16, 26, 27, 6, 17, 35, 45, 14, 11, 32, 19, 46, 10, 22, 13, 24, 12, 20, 4, 47, 38, 31, 23, 9, 44, 34, 25, 3, 41, 1]"
TS,"neigh=two_opt, iters=500, tabu_size=20",11604.0,11998.6,388.19234922909027,0.033483091811649504,"[3, 25, 44, 34, 9, 23, 41, 47, 4, 24, 22, 13, 12, 38, 31, 20, 46, 10, 39, 14, 32, 11, 19, 45, 35, 5, 36, 18, 26, 16, 42, 29, 27, 6, 17, 43, 30, 37, 8, 7, 0, 21, 15, 2, 40, 33, 28, 1]"
TS,"neigh=two_opt, iters=1000, tabu_size=20",11765.0,11937.8,232.552574700862,0.06658064979128539,"[28, 4, 47, 33, 40, 21, 15, 39, 45, 35, 29, 36, 18, 42, 16, 26, 5, 27, 6, 17, 43, 30, 37, 8, 7, 0, 2, 22, 10, 14, 32, 11, 19, 46, 20, 12, 13, 24, 38, 31, 23, 44, 34, 9, 41, 25, 3, 1]"
TS,"neigh=two_opt, iters=500, candidates=5",12613.0,13100.8,391.50823746123143,0.008607141394168138,"[13, 24, 12, 22, 10, 11, 14, 32, 45, 43, 17, 6, 27, 35, 29, 5, 36, 18, 26, 42, 16, 19, 46, 20, 38, 31, 47, 4, 28, 1, 3, 25, 34, 44, 23, 9, 41, 33, 2, 21, 15, 0, 8, 37, 30, 39, 7, 40]"
TS,"neigh=two_opt, iters=500, candidates=10",12908.0,13231.8,218.24687855728888,0.016820774786174296,"[45, 32, 14, 11, 10, 22, 13, 24, 12, 20, 46, 19, 35, 17, 6, 27, 5, 36, 18, 26, 42, 29, 16, 43, 30, 37, 8, 0, 7, 21, 15, 2, 33, 40, 28, 4, 47, 38, 31, 23, 9, 41, 25, 3, 34, 44, 1, 39]"
TS,"neigh=two_opt, iters=500, candidates=20",11897.0,12158.2,219.04953777627563,0.033999958215281366,"[7, 0, 21, 15, 2, 40, 33, 13, 24, 4, 47, 28, 1, 41, 25, 3, 34, 44, 9, 23, 31, 38, 22, 10, 12, 20, 46, 11, 19, 17, 35, 26, 5, 18, 36, 16, 42, 29, 27, 6, 43, 30, 37, 45, 32, 14, 39, 8]"
TS,"neigh=two_opt, iters=500, candidates=40",11063.0,11227.2,96.26110325567643,0.06909219981171191,"[41, 25, 3, 34, 44, 9, 23, 31, 38, 20, 12, 24, 13, 22, 10, 39, 14, 11, 46, 19, 32, 45, 35, 27, 29, 42, 16, 18, 26, 36, 5, 6, 17, 43, 30, 37, 8, 7, 0, 15, 21, 2, 40, 33, 47, 4, 28, 1]"
TS_DIVERSIFICATION,"iters=500, tabu_size=20",12451.0,12978.4,462.3070408289279,0.03303610840812325,"[16, 42, 18, 5, 36, 27, 19, 11, 10, 8, 7, 0, 21, 15, 40, 2, 13, 33, 28, 47, 4, 1, 41, 9, 25, 3, 34, 44, 23, 31, 38, 20, 46, 12, 24, 22, 39, 14, 32, 45, 37, 30, 43, 17, 35, 6, 29, 26]"
