algorithm,params,min,mean,std,time
NN,start=0,2699580.699721054,2699580.699721054,0,0.00014199991710484028
NN,start=19,2893396.865746024,2893396.865746024,0,0.0001362999901175499
NN,start=38,2653349.9568363777,2653349.9568363777,0,0.00011519994586706161
NN,start=57,2636539.2273480627,2636539.2273480627,0,0.00012320000678300858
NN,best_of_k=1,2699580.699721054,2699580.699721054,0,0.00013209995813667774
NN,best_of_k=5,2600641.2244629133,2600641.2244629133,0,0.0005326000973582268
NN,best_of_k=10,2600641.2244629133,2600641.2244629133,0,0.0009315998759120703
NN,best_of_k=20,2600641.2244629133,2600641.2244629133,0,0.0018414999358356
IHC,"neigh=swap, iters=1000, restarts=10",3930270.7328675906,4160546.135807431,164086.30301242805,0.013212359976023436
IHC,"neigh=insert, iters=1000, restarts=10",-2841147.5919866315,-1323950.4195706449,1114076.446144138,0.01684322003275156
IHC,"neigh=two_opt, iters=1000, restarts=10",3369405.739802677,3575659.073790088,156161.88730987546,0.01574503998272121
IHC,"neigh=two_opt, iters=100, restarts=10",6804694.421661971,7478665.164447816,455841.37459641095,0.0016592400148510932
IHC,"neigh=two_opt, iters=500, restarts=10",4113929.9408509377,4599036.232680226,472522.6666666873,0.007986019970849157
IHC,"neigh=two_opt, iters=1000, restarts=10",3420664.250314238,3763589.6223191624,255956.21214581947,0.01608185996301472
IHC,"neigh=two_opt, iters=2000, restarts=10",2813919.9150795345,2926329.1171548194,79969.48678778255,0.030470520071685315
IHC,"neigh=two_opt, iters=1000, restarts=5",3536835.4113031407,3748180.0391189777,174065.3410709728,0.007783379964530468
IHC,"neigh=two_opt, iters=1000, restarts=10",3376824.5418247995,3649322.8254746962,222058.4982143921,0.015869500068947672
IHC,"neigh=two_opt, iters=1000, restarts=20",3054738.5507040266,3413142.834425859,241375.66398636045,0.03077621995471418
IHC,"neigh=two_opt, iters=1000, restarts=30",3252324.3638983676,3375224.0717969537,96912.22059263592,0.04634394003078342
IHC,"neigh=two_opt, iters=2000, no_improve=50",3055597.289757957,3462395.0155639043,324829.7692310278,0.01552813993766904
IHC,"neigh=two_opt, iters=2000, no_improve=100",3041875.215606864,3096139.3384526586,37278.38191515997,0.028439499996602537
IHC,"neigh=two_opt, iters=2000, no_improve=200",2916631.5926577346,2966416.8524869224,54588.35212905145,0.030536000011488797
IHC,"neigh=two_opt, iters=2000, no_improve=500",2758099.498135957,2880139.341470035,101881.76904458014,0.03097596000880003
IHC_INTENSIFICATION,"iters=1000, restarts=10",1739896.196899997,3023130.67255643,731502.764601449,0.01734348004683852
SA,"neigh=swap, temp=1000, alpha=0.99, iters=5000",3401922.446811333,3726124.1228564023,313088.3517728595,0.013631479954347015
SA,"neigh=insert, temp=1000, alpha=0.99, iters=5000",3279816.8190135905,3541610.346774822,193433.70803079175,0.013967219972983003
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",2675201.911204763,3104370.0638389597,583995.709896317,0.015489840041846037
SA,"neigh=two_opt, temp=100, alpha=0.99, iters=5000",2719117.594804791,3124785.9568313095,506863.33935692045,0.014125959994271398
SA,"neigh=two_opt, temp=500, alpha=0.99, iters=5000",2851607.6152391555,3192448.516695349,405107.75364874926,0.015015399921685458
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",2643765.0860958705,2835567.1817695852,119382.08695039127,0.015358220040798187
SA,"neigh=two_opt, temp=5000, alpha=0.99, iters=5000",2833218.8528374257,3100457.4651727467,371788.5337348392,0.015989160025492312
SA,"neigh=two_opt, temp=1000, alpha=0.9, iters=5000",5420893.725464114,6973428.066087287,976486.0624455921,0.0014985600486397744
SA,"neigh=two_opt, temp=1000, alpha=0.95, iters=5000",4939039.159801228,5382215.378887062,499915.51803185756,0.0031208999454975126
SA,"neigh=two_opt, temp=1000, alpha=0.99, iters=5000",2749173.9176852503,2913098.2265237407,141154.87308299463,0.015559519920498133
SA,"neigh=two_opt, temp=1000, alpha=0.995, iters=5000",2506815.810858758,2689963.631447878,191177.28445229903,0.02555888006463647
SA,"neigh=two_opt, temp=1000, cooling=geometric",2727066.042288478,3075114.4766112915,354071.60043254745,0.01522534005343914
SA,"neigh=two_opt, temp=1000, cooling=linear",2557217.0540225278,2699791.4404896544,82161.32585600296,0.025923660025000572
SA,"neigh=two_opt, temp=1000, cooling=logarithmic",2519367.148113596,2702756.8243613117,118890.31271663174,0.025583200016990305
SA_REHEATING,"temp=1000, alpha=0.99, iters=5000",2505851.288497249,2646407.893772083,124388.51821012661,0.02519054007716477
TS,"neigh=swap, iters=500, tabu_size=20",2998481.88482654,3211861.3331099977,160829.61717924938,0.04746973998844624
TS,"neigh=insert, iters=500, tabu_size=20",2917527.8820253806,3027554.732464165,105882.10150357473,0.048405960015952584
TS,"neigh=two_opt, iters=500, tabu_size=20",2612781.0516146733,2671589.1437756373,115652.85265380733,0.05228566001169384
TS,"neigh=two_opt, iters=500, tabu_size=5",2626092.440036433,2671859.2275434406,40054.21153254404,0.050231899973005055
TS,"neigh=two_opt, iters=500, tabu_size=10",2581636.9193516984,2661192.8999387203,77381.587839511,0.05165649997070432
TS,"neigh=two_opt, iters=500, tabu_size=20",2609292.309317088,2722061.5246506557,120383.32749299958,0.05229031997732818
TS,"neigh=two_opt, iters=500, tabu_size=50",2585925.412026926,2699809.0388036417,98054.6615562208,0.053781040012836456
TS,"neigh=two_opt, iters=100, tabu_size=20",3157356.9976286488,3477895.505290922,377678.2158014285,0.010574360052123666
TS,"neigh=two_opt, iters=250, tabu_size=20",2682456.328062087,2808510.961127374,88777.8315528133,0.026130159944295885
