algorithm,params,min,mean,std,time,route
NN,start=0,2699580.699721054,2699580.699721054,0,0.00010595802450552583,"[0, 30, 12, 37, 34, 54, 50, 39, 40, 59, 65, 61, 67, 63, 76, 75, 45, 74, 25, 14, 15, 26, 13, 31, 27, 29, 49, 68, 43, 60, 56, 36, 48, 11, 52, 62, 66, 28, 35, 42, 17, 20, 16, 69, 55, 58, 38, 18, 5, 41, 51, 71, 57, 44, 33, 47, 8, 53, 46, 22, 72, 32, 73, 64, 70, 23, 1, 7, 21, 6, 4, 19, 9, 3, 2, 24, 10]"
NN,start=19,2893396.865746024,2893396.865746024,0,0.00010395800927653909,"[19, 4, 6, 21, 7, 1, 23, 22, 46, 53, 47, 33, 44, 38, 18, 69, 55, 58, 57, 71, 72, 41, 16, 20, 17, 35, 42, 51, 28, 66, 62, 52, 48, 36, 11, 32, 60, 56, 43, 68, 49, 29, 27, 31, 13, 26, 15, 14, 25, 45, 74, 12, 30, 37, 34, 54, 50, 39, 40, 59, 65, 61, 67, 63, 76, 75, 0, 64, 73, 70, 5, 8, 9, 3, 2, 24, 10]"
NN,start=38,2653349.9568363777,2653349.9568363777,0,0.00010412494884803891,"[38, 18, 69, 55, 58, 57, 71, 72, 33, 47, 8, 53, 46, 22, 44, 5, 16, 41, 51, 42, 35, 17, 20, 28, 66, 62, 52, 48, 36, 11, 32, 60, 56, 43, 68, 49, 29, 27, 31, 13, 26, 15, 14, 25, 45, 74, 12, 30, 37, 34, 54, 50, 39, 40, 59, 65, 61, 67, 63, 76, 75, 0, 64, 73, 70, 23, 1, 7, 21, 6, 4, 19, 9, 3, 2, 24, 10]"
NN,start=57,2636539.2273480627,2636539.2273480627,0,0.00010254100197926164,"[57, 58, 38, 18, 69, 55, 41, 16, 20, 17, 35, 42, 51, 28, 66, 62, 52, 48, 36, 11, 32, 60, 56, 43, 68, 49, 29, 27, 31, 13, 26, 15, 14, 25, 45, 74, 12, 30, 37, 34, 54, 50, 39, 40, 59, 65, 61, 67, 63, 76, 75, 0, 64, 73, 70, 5, 44, 33, 47, 8, 53, 46, 22, 72, 71, 23, 1, 7, 21, 6, 4, 19, 9, 3, 2, 24, 10]"
NN,best_of_k=1,2699580.699721054,2699580.699721054,0,9.870802750810981e-05,"[0, 30, 12, 37, 34, 54, 50, 39, 40, 59, 65, 61, 67, 63, 76, 75, 45, 74, 25, 14, 15, 26, 13, 31, 27, 29, 49, 68, 43, 60, 56, 36, 48, 11, 52, 62, 66, 28, 35, 42, 17, 20, 16, 69, 55, 58, 38, 18, 5, 41, 51, 71, 57, 44, 33, 47, 8, 53, 46, 22, 72, 32, 73, 64, 70, 23, 1, 7, 21, 6, 4, 19, 9, 3, 2, 24, 10]"
NN,best_of_k=5,2600641.2244629133,2600641.2244629133,0,0.0004837080487050116,"[2, 24, 3, 9, 19, 4, 6, 21, 7, 1, 23, 22, 46, 53, 47, 33, 44, 38, 18, 69, 55, 58, 57, 71, 72, 41, 16, 20, 17, 35, 42, 51, 28, 66, 62, 52, 48, 36, 11, 32, 60, 56, 43, 68, 49, 29, 27, 31, 13, 26, 15, 14, 25, 45, 74, 12, 30, 37, 34, 54, 50, 39, 40, 59, 65, 61, 67, 63, 76, 75, 0, 64, 73, 70, 5, 8, 10]"
NN,best_of_k=10,2600641.2244629133,2600641.2244629133,0,0.0009821249986998737,"[2, 24, 3, 9, 19, 4, 6, 21, 7, 1, 23, 22, 46, 53, 47, 33, 44, 38, 18, 69, 55, 58, 57, 71, 72, 41, 16, 20, 17, 35, 42, 51, 28, 66, 62, 52, 48, 36, 11, 32, 60, 56, 43, 68, 49, 29, 27, 31, 13, 26, 15, 14, 25, 45, 74, 12, 30, 37, 34, 54, 50, 39, 40, 59, 65, 61, 67, 63, 76, 75, 0, 64, 73, 70, 5, 8, 10]"
NN,best_of_k=20,2600641.2244629133,2600641.2244629133,0,0.002094874973408878,"[2, 24, 3, 9, 19, 4, 6, 21, 7, 1, 23, 22, 46, 53, 47, 33, 44, 38, 18, 69, 55, 58, 57, 71, 72, 41, 16, 20, 17, 35, 42, 51, 28, 66, 62, 52, 48, 36, 11, 32, 60, 56, 43, 68, 49, 29, 27, 31, 13, 26, 15, 14, 25, 45, 74, 12, 30, 37, 34, 54, 50, 39, 40, 59, 65, 61, 67, 63, 76, 75, 0, 64, 73, 70, 5, 8, 10]"
IHC,"neigh=swap, iters=1000, restarts=10",3803332.136020741,4093640.364600998,245994.99642213128,0.011365158006083221,"[44, 5, 75, 37, 14, 68, 60, 35, 41, 11, 73, 49, 56, 59, 34, 76, 0, 30, 39, 40, 12, 45, 50, 54, 25, 74, 26, 15, 64, 70, 31, 51, 42, 69, 57, 55, 71, 47, 72, 33, 62, 66, 52, 48, 43, 16, 18, 58, 27, 13, 67, 61, 63, 65, 29, 17, 8, 10, 24, 2, 3, 4, 23, 20, 32, 36, 28, 9, 19, 6, 7, 21, 1, 46, 22, 53, 38]"
IHC,"neigh=insert, iters=1000, restarts=10",3783943.101008627,4239342.418030258,334278.9875526049,0.0866949082002975,"[60, 64, 73, 42, 68, 63, 67, 76, 30, 34, 10, 3, 24, 2, 9, 6, 21, 19, 4, 1, 16, 57, 58, 70, 65, 39, 45, 31, 74, 75, 0, 25, 14, 15, 43, 62, 48, 66, 55, 46, 53, 47, 29, 37, 50, 40, 27, 11, 28, 51, 5, 18, 72, 23, 71, 69, 38, 33, 7, 22, 8, 44, 17, 20, 32, 59, 61, 54, 12, 26, 13, 36, 35, 41, 52, 49, 56]"
