algorithm,params,min,mean,std,time,route
NN,start=0,153461.9225064,153461.9225064,0,9.970803512260318e-05,"[0, 1, 22, 21, 20, 24, 23, 45, 44, 43, 47, 46, 68, 67, 66, 49, 48, 51, 52, 53, 41, 42, 27, 28, 29, 30, 18, 19, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 36, 35, 34, 33, 39, 40, 59, 58, 57, 56, 62, 63, 61, 60, 54, 55, 50, 65, 64, 70, 71, 72, 38, 37, 31, 32, 26, 25, 3, 2, 74, 75, 73, 69]"
NN,start=19,157075.9772814,157075.9772814,0,0.00010150001617148519,"[19, 18, 30, 29, 28, 27, 42, 41, 53, 52, 51, 50, 65, 64, 55, 54, 57, 56, 62, 63, 61, 60, 58, 59, 40, 39, 33, 34, 35, 36, 17, 16, 10, 11, 12, 13, 14, 15, 9, 8, 5, 6, 7, 2, 3, 4, 31, 32, 26, 25, 24, 20, 21, 22, 0, 1, 74, 75, 23, 45, 44, 43, 47, 46, 68, 67, 66, 49, 48, 70, 71, 72, 38, 37, 73, 69]"
NN,start=38,143815.47012040002,143815.47012040002,0,9.85420192591846e-05,"[38, 37, 35, 36, 17, 16, 10, 11, 12, 13, 14, 15, 9, 8, 5, 6, 7, 2, 3, 4, 19, 18, 30, 29, 28, 27, 42, 41, 53, 52, 51, 50, 65, 64, 55, 54, 57, 56, 62, 63, 61, 60, 58, 59, 40, 39, 33, 34, 31, 32, 26, 25, 24, 20, 21, 22, 0, 1, 74, 75, 23, 45, 44, 43, 47, 46, 68, 67, 66, 49, 48, 70, 71, 72, 69, 73]"
NN,start=57,151370.90807240002,151370.90807240002,0,0.00010120897786691785,"[57, 56, 62, 63, 61, 60, 58, 59, 40, 39, 33, 34, 35, 36, 17, 16, 10, 11, 12, 13, 14, 15, 9, 8, 5, 6, 7, 2, 3, 4, 19, 18, 30, 29, 28, 27, 42, 41, 53, 52, 51, 50, 65, 64, 55, 54, 48, 49, 66, 67, 68, 46, 47, 43, 44, 45, 23, 24, 20, 21, 22, 0, 1, 74, 75, 25, 26, 32, 31, 37, 38, 71, 72, 70, 69, 73]"
NN,best_of_k=1,153461.9225064,153461.9225064,0,9.916600538417697e-05,"[0, 1, 22, 21, 20, 24, 23, 45, 44, 43, 47, 46, 68, 67, 66, 49, 48, 51, 52, 53, 41, 42, 27, 28, 29, 30, 18, 19, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 36, 35, 34, 33, 39, 40, 59, 58, 57, 56, 62, 63, 61, 60, 54, 55, 50, 65, 64, 70, 71, 72, 38, 37, 31, 32, 26, 25, 3, 2, 74, 75, 73, 69]"
NN,best_of_k=5,143098.4818224,143098.4818224,0,0.0004194580251350999,"[3, 2, 5, 6, 7, 8, 9, 4, 19, 18, 30, 29, 28, 27, 42, 41, 53, 52, 51, 50, 65, 64, 55, 54, 57, 56, 62, 63, 61, 60, 58, 59, 40, 39, 33, 34, 35, 36, 17, 16, 10, 11, 12, 13, 14, 15, 37, 38, 32, 31, 25, 26, 43, 47, 46, 44, 45, 23, 24, 20, 21, 22, 0, 1, 74, 75, 73, 48, 49, 66, 67, 68, 69, 70, 71, 72]"
NN,best_of_k=10,142395.35588940003,142395.35588940003,0,0.0008352920413017273,"[9, 8, 5, 6, 7, 2, 3, 4, 19, 18, 30, 29, 28, 27, 42, 41, 53, 52, 51, 50, 65, 64, 55, 54, 57, 56, 62, 63, 61, 60, 58, 59, 40, 39, 33, 34, 35, 36, 17, 16, 10, 11, 12, 13, 14, 15, 37, 38, 32, 31, 25, 26, 43, 47, 46, 44, 45, 23, 24, 20, 21, 22, 0, 1, 74, 75, 73, 48, 49, 66, 67, 68, 69, 70, 71, 72]"
NN,best_of_k=20,130921.00457240004,130921.00457240004,0,0.0018252499867230654,"[15, 14, 12, 13, 11, 10, 16, 17, 36, 35, 34, 33, 39, 40, 59, 58, 57, 56, 62, 63, 61, 60, 54, 55, 50, 65, 64, 49, 48, 51, 52, 53, 41, 42, 27, 28, 29, 30, 18, 19, 4, 5, 6, 7, 8, 9, 3, 2, 1, 0, 22, 21, 20, 24, 23, 45, 44, 43, 47, 46, 68, 67, 66, 69, 70, 71, 72, 38, 37, 31, 32, 26, 25, 74, 75, 73]"
IHC,"neigh=swap, iters=1000, restarts=10",223320.96091259972,243181.5454925,14575.595689091617,0.011127850005868823,"[62, 40, 33, 39, 32, 18, 36, 16, 15, 73, 13, 9, 19, 4, 47, 43, 44, 21, 74, 75, 3, 52, 55, 50, 51, 54, 57, 49, 65, 68, 67, 66, 69, 72, 71, 70, 64, 41, 27, 29, 28, 31, 20, 5, 1, 0, 22, 23, 24, 46, 45, 48, 53, 42, 26, 25, 35, 17, 34, 60, 2, 6, 7, 8, 11, 30, 10, 12, 14, 37, 38, 59, 58, 61, 56, 63]"
IHC,"neigh=insert, iters=1000, restarts=10",198572.57049319998,225041.96604137996,19702.357525415264,0.07174850858282297,"[69, 66, 64, 71, 62, 60, 40, 39, 33, 56, 61, 50, 65, 49, 51, 41, 58, 59, 27, 31, 48, 67, 68, 44, 47, 26, 25, 45, 46, 43, 23, 22, 24, 20, 3, 2, 21, 1, 0, 75, 74, 7, 6, 5, 8, 14, 12, 73, 37, 38, 34, 32, 16, 11, 13, 10, 9, 30, 29, 4, 36, 35, 17, 15, 19, 18, 28, 42, 53, 52, 54, 55, 57, 63, 72, 70]"
